Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,TenureGroup,WarehouseDistanceCat,RecencyStatus,Tenure_Days,Churn_Score,Churn_Risk_Level,Tenure_Bucket
15.0,29.0,4,Laptop & Accessory,3,Single,2,0,7.0,143.32,0,6-24 Months (Regular),Far,Active,450.0,0.0,Low Risk (<30%),12+ Months (Loyal)
7.0,25.0,4,Mobile Phone,1,Married,2,0,7.0,129.29,0,6-24 Months (Regular),Far,Active,210.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
27.0,13.0,3,Laptop & Accessory,1,Married,5,0,7.0,168.54,0,24+ Months (Loyal),Moderate,Active,810.0,0.0,Low Risk (<30%),12+ Months (Loyal)
20.0,25.0,4,Fashion,3,Divorced,7,0,3.0,230.27,0,6-24 Months (Regular),Far,Active,600.0,0.0,Low Risk (<30%),12+ Months (Loyal)
30.0,15.0,4,Others,4,Single,8,0,8.0,322.17,0,24+ Months (Loyal),Moderate,Active,900.0,0.0,Low Risk (<30%),12+ Months (Loyal)
7.0,16.0,4,Mobile Phone,2,Divorced,2,0,11.0,152.81,0,6-24 Months (Regular),Moderate,Active,210.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
1.0,15.0,6,Mobile Phone,5,Divorced,3,0,2.0,149.51,0,0-6 Months (New),Moderate,Active,30.0,0.11,Low Risk (<30%),0-3 Months (High Risk)
1.0,11.0,4,Mobile Phone,5,Single,3,0,1.0,154.73,1,0-6 Months (New),Moderate,Active,30.0,0.8,High Risk (>70%),0-3 Months (High Risk)
11.0,12.0,4,Mobile Phone,3,Married,2,0,4.0,137.02,0,6-24 Months (Regular),Moderate,Active,330.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
17.0,7.0,3,Laptop & Accessory,1,Married,5,1,2.0,157.43,0,6-24 Months (Regular),Near,Active,510.0,0.0,Low Risk (<30%),12+ Months (Loyal)
6.0,26.0,6,Fashion,3,Married,5,0,3.0,221.1,0,0-6 Months (New),Far,Active,180.0,0.01,Low Risk (<30%),4-6 Months (Mid-High)
16.0,20.0,2,Laptop & Accessory,5,Married,7,0,1.0,180.38,0,6-24 Months (Regular),Moderate,Active,480.0,0.0,Low Risk (<30%),12+ Months (Loyal)
1.0,7.0,4,Mobile Phone,3,Divorced,5,0,3.0,154.09,1,0-6 Months (New),Near,Active,30.0,0.9,High Risk (>70%),0-3 Months (High Risk)
1.0,7.0,5,Fashion,3,Divorced,7,0,3.0,231.089999999999,1,0-6 Months (New),Near,Active,30.0,1.0,High Risk (>70%),0-3 Months (High Risk)
6.0,14.0,3,Laptop & Accessory,5,Married,3,0,2.0,163.92,0,0-6 Months (New),Moderate,Active,180.0,0.0,Low Risk (<30%),4-6 Months (Mid-High)
10.0,8.0,4,Laptop & Accessory,3,Single,8,0,1.0,193.15,0,6-24 Months (Regular),Near,Active,300.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
9.0,21.0,5,Mobile Phone,1,Married,1,1,3.0,121.68,0,6-24 Months (Regular),Far,Active,270.0,0.13,Low Risk (<30%),7-12 Months (Moderate)
8.0,22.0,4,Fashion,2,Divorced,3,0,6.0,204.78,1,6-24 Months (Regular),Far,Active,240.0,0.97,High Risk (>70%),7-12 Months (Moderate)
19.0,27.0,4,Grocery,1,Married,2,1,11.0,259.96,0,6-24 Months (Regular),Far,Active,570.0,0.06,Low Risk (<30%),12+ Months (Loyal)
0.0,18.0,1,Mobile Phone,4,Single,2,0,0.0,127.16,1,0-6 Months (New),Moderate,Active,0.0,0.8,High Risk (>70%),0-3 Months (High Risk)
1.0,33.0,5,Laptop & Accessory,5,Single,7,0,2.0,191.96,1,0-6 Months (New),Far,Active,30.0,0.84,High Risk (>70%),0-3 Months (High Risk)
3.0,22.0,3,Laptop & Accessory,3,Married,9,0,2.0,153.01,0,0-6 Months (New),Far,Active,90.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
30.0,9.0,1,Mobile Phone,5,Married,5,1,0.0,126.699999999999,0,24+ Months (Loyal),Near,Active,900.0,0.06,Low Risk (<30%),12+ Months (Loyal)
5.0,14.0,3,Fashion,1,Single,2,0,7.0,189.98,0,0-6 Months (New),Moderate,Active,150.0,0.14,Low Risk (<30%),4-6 Months (Mid-High)
9.0,12.0,4,Fashion,4,Single,2,0,14.0,205.95,0,6-24 Months (Regular),Moderate,Active,270.0,0.02,Low Risk (<30%),7-12 Months (Moderate)
18.0,26.0,3,Laptop & Accessory,3,Single,9,0,1.0,148.5,0,6-24 Months (Regular),Far,Active,540.0,0.0,Low Risk (<30%),12+ Months (Loyal)
16.0,17.0,3,Fashion,3,Married,2,0,9.0,175.1,0,6-24 Months (Regular),Moderate,Active,480.0,0.0,Low Risk (<30%),12+ Months (Loyal)
0.0,14.0,1,Mobile Phone,3,Single,4,1,3.0,124.32,1,0-6 Months (New),Moderate,Active,0.0,0.68,Medium Risk (30-70%),0-3 Months (High Risk)
7.0,6.0,4,Fashion,5,Married,10,0,6.0,204.82,1,6-24 Months (Regular),Near,Active,210.0,0.97,High Risk (>70%),7-12 Months (Moderate)
1.0,17.0,5,Fashion,5,Married,11,0,3.0,228.06,1,0-6 Months (New),Moderate,Active,30.0,0.99,High Risk (>70%),0-3 Months (High Risk)
12.0,6.0,1,Fashion,1,Married,1,0,7.0,196.13,0,6-24 Months (Regular),Near,Active,360.0,0.01,Low Risk (<30%),7-12 Months (Moderate)
30.0,11.0,4,Fashion,4,Married,3,1,4.0,205.52,0,24+ Months (Loyal),Moderate,Active,900.0,0.0,Low Risk (<30%),12+ Months (Loyal)
11.0,17.0,2,Fashion,1,Married,3,1,9.0,262.44,0,6-24 Months (Regular),Moderate,Active,330.0,0.08,Low Risk (<30%),7-12 Months (Moderate)
0.0,14.0,4,Mobile Phone,4,Divorced,6,0,1.0,125.46,1,0-6 Months (New),Moderate,Active,0.0,0.77,High Risk (>70%),0-3 Months (High Risk)
0.0,14.0,4,Mobile Phone,1,Married,6,0,3.0,123.669999999999,1,0-6 Months (New),Moderate,Active,0.0,0.63,Medium Risk (30-70%),0-3 Months (High Risk)
0.0,14.0,3,Mobile Phone,5,Married,4,0,0.0,123.22,0,0-6 Months (New),Moderate,Active,0.0,0.09,Low Risk (<30%),0-3 Months (High Risk)
24.0,31.0,4,Grocery,3,Married,5,1,6.0,264.73,0,6-24 Months (Regular),Far,Active,720.0,0.0,Low Risk (<30%),12+ Months (Loyal)
9.0,6.0,4,Mobile Phone,5,Married,2,0,2.0,122.18,0,6-24 Months (Regular),Near,Active,270.0,0.0,Low Risk (<30%),7-12 Months (Moderate)
0.0,9.0,3,Laptop & Accessory,5,Divorced,2,1,3.0,141.94,0,0-6 Months (New),Near,Active,0.0,0.0,Low Risk (<30%),0-3 Months (High Risk)
1.0,7.0,4,Mobile Phone,1,Married,11,1,3.0,172.87,1,0-6 Months (New),Near,Active,30.0,0.99,High Risk (>70%),0-3 Months (High Risk)
